,Year,Ratings,Genre,Gross,Budget,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Comments,Aggregate Followers
Year,1.0,-0.001212778904254945,-0.02627730848287319,0.12267186080723522,0.09851615040514178,0.2514717622328262,0.10399563548929548,0.22985830470524143,0.2079587509744726,0.08456130094110405,0.23449628133918626,0.043037345614282935,-0.03735107131279838
Ratings,-0.001212778904254945,1.0,-0.1167353229439582,0.34220405128176606,0.2881571219516052,0.057625415501482306,0.10570111346055422,0.1431822662266418,0.011710097199322419,0.07382427947514557,-0.1874223113115033,0.015679206150653446,0.07854514316185855
Genre,-0.02627730848287319,-0.1167353229439582,1.0,-0.19700915207773712,-0.2642864465576921,-0.14580676331763193,-0.2244740359913698,-0.010831404747230279,-0.032047327609018454,-0.04354352276282426,-0.031730388674762966,-0.09991868100041675,0.008699997370355724
Gross,0.12267186080723522,0.34220405128176606,-0.19700915207773712,1.0,0.7198386440213983,0.5864471210134269,0.4237111617494214,-0.017100100951425324,0.17636289250867895,0.11043168098031905,0.1615360528945531,0.12596046678904424,0.3018084667541903
Budget,0.09851615040514178,0.2881571219516052,-0.2642864465576921,0.7198386440213983,1.0,0.5956838631565925,0.4647330884513407,0.03361570710643906,0.11470783170019311,0.01170143792111483,0.09688780918083287,0.0905594172107554,0.16887365396096632
Screens,0.2514717622328262,0.057625415501482306,-0.14580676331763193,0.5864471210134269,0.5956838631565925,1.0,0.2674556501327227,-0.017046193225347273,0.25651453845610256,0.1734731243118856,0.2681757309832047,0.2130385078186735,0.2108221767386451
Sequel,0.10399563548929548,0.10570111346055422,-0.2244740359913698,0.4237111617494214,0.4647330884513407,0.2674556501327227,1.0,-0.1067691698209318,-0.04276265164403663,-0.036088793321838494,-0.05979200330610531,-0.06933275617918569,0.22864935179522058
Sentiment,0.22985830470524143,0.1431822662266418,-0.010831404747230279,-0.017100100951425324,0.03361570710643906,-0.017046193225347273,-0.1067691698209318,1.0,0.0641339756990224,0.05388265109954403,0.040573547900578495,0.056372415114508315,-0.09292189513801784
Views,0.2079587509744726,0.011710097199322419,-0.032047327609018454,0.17636289250867895,0.11470783170019311,0.25651453845610256,-0.04276265164403663,0.0641339756990224,1.0,0.6771750591639812,0.7761052012715123,0.7105065710585632,0.1550443032605819
Likes,0.08456130094110405,0.07382427947514557,-0.04354352276282426,0.11043168098031905,0.01170143792111483,0.1734731243118856,-0.036088793321838494,0.05388265109954403,0.6771750591639812,1.0,0.4706451843355306,0.9174923286743312,0.07857513592668534
Dislikes,0.23449628133918626,-0.1874223113115033,-0.031730388674762966,0.1615360528945531,0.09688780918083287,0.2681757309832047,-0.05979200330610531,0.040573547900578495,0.7761052012715123,0.4706451843355306,1.0,0.5799664148811314,0.052877278274849615
Comments,0.043037345614282935,0.015679206150653446,-0.09991868100041675,0.12596046678904424,0.0905594172107554,0.2130385078186735,-0.06933275617918569,0.056372415114508315,0.7105065710585632,0.9174923286743312,0.5799664148811314,1.0,0.034331534830258366
Aggregate Followers,-0.03735107131279838,0.07854514316185855,0.008699997370355724,0.3018084667541903,0.16887365396096632,0.2108221767386451,0.22864935179522058,-0.09292189513801784,0.1550443032605819,0.07857513592668534,0.052877278274849615,0.034331534830258366,1.0
