Movie,Budget,Aggregate Followers,Comments,Dislikes,Screens,Sentiment,Rating_Label
13 Sins,4000000.0,1120000.0,636.0,425,45.0,0,Average
22 Jump Street,50000000.0,12350000.0,186.0,61,3306.0,2,Good
3 Days to Kill,28000000.0,483000.0,47.0,34,2872.0,0,Average
300: Rise of an Empire,110000000.0,568000.0,590.0,132,3470.0,0,Average
A Haunted House 2,3500000.0,1923800.0,1082.0,610,2310.0,0,Poor
A Long Way Off,500000.0,310000.0,1.0,7,2777.0,0,Poor
A Million Ways to Die in the West,40000000.0,8153000.0,1020.0,419,3158.0,0,Average
A Most Violent Year,20000000.0,130655.0,593.0,197,818.0,2,Good
A Walk Among the Tombstones,28000000.0,125646.0,382.0,419,2714.0,3,Good
About Last Night,12500000.0,21663910.0,770.0,532,2253.0,0,Average
American Sniper,58800000.0,24300.0,3134.0,573,3555.0,4,Good
And So It Goes,30000000.0,386400.0,70.0,94,1762.0,0,Average
Annabelle,6500000.0,19420105.0,4392.0,4382,3185.0,0,Average
Annie,65000000.0,5130800.0,1484.0,707,3116.0,0,Average
Atlas Shrugged: Who Is John Galt?,5000000.0,15112.0,39.0,36,65.0,0,Poor
Barefoot,6000000.0,253000.0,460.0,247,18.0,2,Good
Better Living Through Chemistry,5000000.0,1658900.0,182.0,146,25.0,0,Average
Beyond the Lights,7000000.0,116100.0,685.0,235,31.0,0,Good
Big Hero 6,165000000.0,199800.0,1293.0,538,3761.0,29,Good
Black or White,9000000.0,888000.0,1033.0,307,1823.0,-1,Good
Blended,40000000.0,2417000.0,2214.0,1940,3555.0,-2,Good
Boyhood,4000000.0,105000.0,741.0,207,771.0,9,Good
Brick Mansions,28000000.0,3209000.0,1235.0,255,2647.0,0,Average
Cake,7000000.0,4769100.0,1150.0,454,482.0,2,Good
Camp X-Ray,1000000.0,2182.0,0.3000000000000002,0,2777.0,3,Good
Cantinflas,3000000.0,1052600.0,2296.0,558,382.0,3,Good
Captain America: The Winter Soldier,170000000.0,8030000.0,837.0,66,3938.0,5,Good
Dawn of the Planet of the Apes,170000000.0,114000.0,889.0,187,3967.0,-4,Good
Deliver Us from Evil,30000000.0,744600.0,162.0,72,97.0,0,Average
Devil's Due,7000000.0,9536.0,729.0,581,2544.0,0,Poor
Divergent,85000000.0,1030000.0,987.0,152,3936.0,-4,Good
Dolphin Tale 2,36000000.0,276750.0,228.0,129,3376.0,-1,Average
Dracula Untold,70000000.0,395500.0,5278.0,1342,2777.0,0,Average
Draft Day,27000000.0,147000.0,227.0,153,2781.0,0,Good
Dumb and Dumber To,35000000.0,17064000.0,1122.0,446,3154.0,0,Average
Earth to Echo,13000000.0,88586.0,643.0,553,3230.0,0,Average
Edge of Tomorrow,178000000.0,5610000.0,6439.0,1730,3490.0,0,Good
Endless Love,20000000.0,21500.0,2577.0,1343,2800.0,1,Average
Falcon Rising,4500000.0,1060000.0,92.0,98,2777.0,0,Average
Foxcatcher,24000000.0,13720000.0,1580.0,467,66.0,6,Good
Fury,68000000.0,1888000.0,1286.0,331,3313.0,3,Good
God Help the Girl,1850000.0,66600.0,374.0,181,8.0,-4,Average
God's Not Dead,2000000.0,412000.0,890.0,413,780.0,0,Average
God's Pocket,1000000.0,1052600.0,12.0,10,3.0,0,Average
Godzilla,160000000.0,1870000.0,547.0,112,3952.0,2,Good
Gone Girl,61000000.0,20640000.0,342.0,58,3014.0,-11,Good
Guardians of the Galaxy,170000000.0,2750000.0,1285.0,269,4080.0,0,Good
Happy Christmas,160000.00000000006,5887700.0,132.0,107,9.0,0,Average
Heaven Is for Real,12000000.0,1052600.0,133.0,34,2417.0,-9,Average
Hercules,100000000.0,9414000.0,3925.0,1130,3595.0,-2,Average
Horrible Bosses 2,42000000.0,1650000.0,362.0,124,93.0,-1,Average
How to Train Your Dragon 2,145000000.0,671000.0,2863.0,862,4253.0,3,Good
If I Stay,11000000.0,1800000.0,3609.0,924,1272.0,14,Good
In the Name of My Daughter,8932779.93,58900.0,0.3000000000000002,0,6.0,0,Average
Inherent Vice,20000000.0,1052600.0,797.0,82,645.0,1,Good
Interstellar,165000000.0,1865000.0,4316.0,751,3561.0,2,Good
Into the Storm,50000000.0,301000.0,3058.0,569,3434.0,0,Average
Into the Woods,50000000.0,4720000.0,346.0,112,2440.0,-4,Average
It Follows,2000000.0,1052600.0,1.0,1,4.0,-9,Good
Jack Ryan: Shadow Recruit,60000000.0,147000.0,1105.0,347,3387.0,4,Average
Jersey Boys,40000000.0,27323.0,543.0,133,2905.0,10,Good
John Wick,20000000.0,1052600.0,2732.0,405,2589.0,0,Good
Kill the Messenger,5000000.0,1045200.0,1119.0,234,374.0,0,Good
Kingsman: The Secret Service,81000000.0,5407000.0,6946.0,944,3204.0,0,Good
Kung Fu Jungle,25000000.0,1052600.0,9.0,17,28.0,-2,Good
Left Behind,16000000.0,116800.0,7595.0,2111,1825.0,0,Poor
Let's Be Cops,17000000.0,2356000.0,909.0,546,1534.0,-5,Good
Life After Beth,2400000.0,1463000.0,335.0,193,2777.0,0,Average
Locker 13,300000.0,18100.0,2.0,4,3.0,0,Poor
Lucy,40000000.0,1052600.0,311.0,167,3173.0,1,Average
Maleficent,180000000.0,5633.0,464.0,135,3948.0,0,Good
Maps to the Stars,15000000.0,644000.0,71.0,39,66.0,0,Average
Million Dollar Arm,25000000.0,130000.0,511.0,168,3019.0,27,Good
Moms' Night Out,5000000.0,919000.0,44.0,38,1044.0,0,Average
Mr. Peabody & Sherman,145000000.0,8839043.0,88.0,45,3934.0,13,Good
Muppets Most Wanted,50000000.0,9850000.0,1061.0,564,3194.0,-1,Good
My Old Lady,5000000.0,1052600.0,45.0,50,255.0,0,Average
Need for Speed,66000000.0,2594000.0,2305.0,533,3115.0,5,Good
Neighbors,18000000.0,14240000.0,693.0,298,3279.0,2,Average
Night at the Museum: Secret of the Tomb,127000000.0,6480000.0,1221.0,362,22.0,2,Average
Nightcrawler,8500000.0,1052600.0,2170.0,543,2766.0,-1,Good
No Good Deed,13200000.0,1550500.0,387.0,118,2130.0,0,Average
Noah,125000000.0,1810000.0,15389.5999999999,3812,3567.0,6,Average
Non-Stop,50000000.0,648786.0,37.0,19,3090.0,0,Good
Not Cool,600000.0,2720000.0,15389.5999999999,3145,2777.0,0,Average
Ouija,5000000.0,130000.0,4926.0,2150,2061.0,-4,Poor
Paddington,55000000.0,124000.0,665.0,500,3303.0,14,Good
Paranormal Activity: The Marked Ones,5000000.0,11444.0,85.0,45,2867.0,0,Average
Penguins of Madagascar,132000000.0,47200.0,226.0,123,32.0,8,Good
Planes: Fire & Rescue,50000000.0,3603000.0,626.0,485,3826.0,0,Average
Pompeii,100000000.0,370000.0,267.0,106,2658.0,0,Average
Ride Along,25000000.0,21586000.0,2195.0,977,2663.0,0,Average
Rio 2,103000000.0,154400.0,1151.0,704,3948.0,4,Average
RoboCop,100000000.0,250000.0,4319.0,1077,3372.0,7,Average
Rosewater,5000000.0,1052600.0,632.0,186,371.0,1,Good
Rudderless,5000000.0,217000.0,432.0,89,2777.0,0,Good
Sabotage,35000000.0,3678000.0,977.0,411,2486.0,17,Average
Selma,20000000.0,9224.0,4973.0,565,2179.0,-5,Good
Serena,30000000.0,1052600.0,1074.0,405,59.0,0,Average
Seventh Son,95000000.0,804300.0,5.0,5,2875.0,0,Average
Sex Tape,40000000.0,4521000.0,251.0,418,3062.0,0,Average
Sin City: A Dame to Kill For,65000000.0,8620000.0,2796.0,627,2894.0,0,Good
Son of God,22000000.0,3185900.0,1401.0,325,3260.0,2,Average
Song One,6000000.0,33500.0,373.0,184,27.0,0,Average
St. Vincent,13000000.0,269849.0,885.0,310,18.0,20,Good
Taken 3,48000000.0,216000.0,380.0,136,21.0,6,Average
Tammy,20000000.0,727000.0,727.0,675,3465.0,0,Poor
Teenage Mutant Ninja Turtles,125000000.0,1260000.0,8533.0,3439,3845.0,0,Average
That Awkward Moment,8000000.0,11783000.0,846.0,653,2809.0,0,Average
The Admiral,9500000.0,1052600.0,308.0,43,1586.0,3,Good
The Amazing Spider-Man 2,200000000.0,4520000.0,864.0,233,4324.0,6,Good
The Babadook,2000000.0,1052600.0,2928.0,890,147.0,-3,Good
The Best of Me,26000000.0,48231.0,1271.0,535,8.0,3,Good
The Book of Life,50000000.0,10364000.0,3229.0,871,12.0,9,Good
The Boxtrolls,60000000.0,1280000.0,554.0,378,3464.0,5,Good
The Devil's Hand,7000000.0,1052600.0,92.0,52,2777.0,0,Poor
The Drop,12600000.0,1052600.0,569.0,153,809.0,-1,Good
The Equalizer,55000000.0,1800000.0,1966.0,574,3236.0,0,Good
The Expendables 3,90000000.0,1480000.0,5005.0,1336,90.0,0,Average
The Fault in Our Stars,12000000.0,4240000.0,15389.5999999999,4752,3173.0,7,Good
The Fluffy Movie: Unity Through Laughter,28000000.0,818000.0,1.0,1,432.0,0,Good
The Gambler,25000000.0,2740000.0,773.0,454,103.0,-2,Average
The Giver,25000000.0,184100.0,565.0,149,702.0,6,Good
The Good Lie,20000000.0,759800.0,564.0,211,461.0,10,Good
The Hobbit: The Battle of the Five Armies,206999999.99999988,2613000.0,1782.0,262,3875.0,3,Good
The Homesman,16000000.0,25748.0,8.0,1,4.0,2,Good
The Hundred-Foot Journey,22000000.0,20700.0,52.0,12,2023.0,11,Good
The Hunger Games: Mockingjay - Part 1,125000000.0,21663910.0,1176.0,332,4151.0,2,Good
The Identical,12000000.0,275873.0,113.0,97,2777.0,0,Average
The Imitation Game,14000000.0,1052600.0,1237.0,253,747.0,9,Good
The Interview,44000000.0,6619435.0,3430.0,1265,78.0,0,Good
The Judge,50000000.0,5563500.0,378.0,104,3003.0,2,Good
The Legend of Hercules,70000000.0,1174806.0,456.0,630,2104.0,0,Poor
The Lego Movie,60000000.0,4690000.0,289.0,105,3775.0,-2,Good
The Loft,14000000.0,14586.0,43.0,27,1841.0,2,Average
The Maze Runner,34000000.0,4734000.0,2753.0,213,173.0,2,Good
The Monuments Men,70000000.0,3849.0,0.3000000000000002,1,3083.0,0,Average
The November Man,15000000.0,148000.0,567.0,155,2776.0,0,Average
The Nut Job,42000000.0,1052600.0,554.0,546,3427.0,0,Average
The One I Love,160000.00000000006,226000.0,239.0,148,20.0,2,Good
The Other Woman,40000000.0,2731000.0,3479.0,2233,3205.0,-1,Average
The Purge: Anarchy,9000000.0,49424.0,882.0,193,2805.0,-3,Good
The Pyramid,6500000.0,420000.0,2046.0,794,685.0,0,Poor
The Rover,12250000.0,9842.0,1.0,0,5.0,0,Average
The Salvation,11712310.56,1052600.0,58.0,11,2.0,0,Good
The Theory of Everything,15000000.0,8204.0,2104.0,261,15.0,8,Good
The Water Diviner,22500000.0,1899400.0,2099.0,445,320.0,7,Good
The Woman in Black 2: Angel of Death,1000000.0,3086.0,9.0,1,2602.0,-6,Poor
Think Like a Man Too,24000000.0,21663910.0,346.0,336,2225.0,0,Average
Transcendence,100000000.0,5987.0,6811.0,1459,3455.0,0,Average
Transformers: Age of Extinction,206999999.99999988,2814900.0,230.0,362,4233.0,0,Average
Tusk,2800000.0,180100.0,380.0,104,449.0,0,Average
Unbroken,65000000.0,269000.0,3403.0,815,3131.0,0,Good
Veronica Mars,6000000.0,2536000.0,232.0,166,291.0,10,Good
When the Game Stands Tall,15000000.0,585000.0,82.0,56,794.0,0,Good
Whiplash,3300000.0,858000.0,2760.0,631,42.0,2,Good
White God,2487820.27,1052600.0,70.0,36,2.0,11,Good
Wild,15000000.0,781200.0,1333.0,649,1061.0,0,Good
Wild Tales,3300000.0,1052600.0,429.0,39,4.0,7,Good
Winter's Tale,60000000.0,1810000.0,189.0,76,2965.0,0,Average
Wish I Was Here,6000000.0,1818778.0,67.0,79,68.0,0,Good
X-Men: Days of Future Past,200000000.0,10280000.0,1.0,0,3996.0,3,Good
Yves Saint Laurent,12000000.0,168700.0,77.0,44,2.0,0,Average
Jurassic World,150000000.0,6180000.0,5107.0,1074,4274.0,1,Good
Avengers: Age of Ultron,206999999.99999988,10070000.0,3843.0,989,4276.0,21,Good
Furious 7,190000000.0,11890000.0,39.0,8,4004.0,-17,Good
Inside Out,175000000.0,232000.0,496.0,262,3946.0,2,Good
Minions,74000000.0,250000.0,48.0,764,4301.0,-2,Good
Pitch Perfect 2,29000000.0,7336000.0,1987.0,998,3473.0,1,Good
Mission: Impossible - Rogue Nation,150000000.0,6605000.0,1842.0,649,3956.0,3,Good
Home,135000000.0,5070000.0,3426.0,1675,3708.0,-2,Good
Fifty Shades of Grey,40000000.0,946000.0,9119.0,13960,3646.0,9,Poor
The SpongeBob Movie: Sponge Out of Water,74000000.0,184000.0,1281.0,1840,3641.0,0,Average
San Andreas,110000000.0,9737600.0,7559.0,2210,3777.0,3,Average
Mad Max: Fury Road,150000000.0,768700.0,1774.0,497,3702.0,-4,Good
Straight Outta Compton,28000000.0,55618.0,1560.0,237,2757.0,5,Good
Insurgent,110000000.0,4240000.0,66.0,5746,3875.0,-6,Average
Spy,65000000.0,265000.0,1666.0,750,3711.0,0,Good
Trainwreck,35000000.0,2014000.0,2955.0,2581,3158.0,1,Good
Tomorrowland,190000000.0,1198000.0,250.0,66,3972.0,1,Good
Get Hard,40000000.0,2939000.0,2395.0,1418,3175.0,6,Average
Terminator Genisys,155000000.0,3877901.0,63.0,13,3758.0,1,Good
Ted 2,68000000.0,10988000.0,1767.0,984,3442.0,5,Good
Paul Blart: Mall Cop 2,30000000.0,1618000.0,892.0,935,90.0,15,Poor
Pixels,88000000.0,2466000.0,3717.0,2007,3723.0,10,Average
Magic Mike XXL,14800000.0,8392000.0,1579.0,858,3355.0,7,Average
The Wedding Ringer,23000000.0,2284000.0,755.0,478,3003.0,-8,Good
Vacation,31000000.0,2347000.0,871.0,464,3411.0,13,Average
Fantastic Four,120000000.0,881000.0,7139.0,3524,3995.0,20,Poor
Poltergeist,35000000.0,2133.7,2205.0,969,3240.0,-5,Average
Jupiter Ascending,176000000.0,7460000.0,1668.0,565,3181.0,0,Average
The Age of Adaline,25000000.0,776000.0,3525.0,1005,2991.0,11,Good
Max,20000000.0,2133.7,1842.0,625,2855.0,0,Good
The Longest Ride,34000000.0,324925.0,584.0,369,3366.0,19,Good
The Gift,5000000.0,1655987.0,1105.0,270,1648.0,11,Good
The Boy Next Door,4000000.0,4599000.0,1499.0,913,2602.0,16,Poor
Hot Pursuit,35000000.0,1630000.0,1293.0,1111,3003.0,2,Average
The DUFF,8500000.0,6714000.0,4102.0,2083,2575.0,2,Good
Woman in Gold,11000000.0,675000.0,7.0,3,258.0,19,Good
Entourage,30000000.0,788000.0,634.0,314,3108.0,6,Good
Paper Towns,12000000.0,4184000.0,1087.0,459,3031.0,6,Good
The Lazarus Effect,3300000.0,2007000.0,2739.0,691,2666.0,7,Average
Sinister 2,10000000.0,5699.0,4360.0,1885,2766.0,-38,Average
Ricki and the Flash,18000000.0,2133.7,269.0,130,1603.0,25,Average
Project Almanac,12000000.0,253499.0,2787.0,955,2893.0,7,Average
Hitman: Agent 47,35000000.0,209000.0,8578.0,3565,3261.0,10,Average
Dope,700000.0,986572.0,28.0,3,2002.0,2,Good
Hot Tub Time Machine 2,14000000.0,1891977.0,31.0,9,2880.0,9,Average
American Ultra,28000000.0,155000.0,189.0,32,2778.0,21,Good
The Gunman,40000000.0,1520000.0,881.0,341,2816.0,3,Average
Mortdecai,60000000.0,3045000.0,1276.0,453,2648.0,-2,Average
Blackhat,70000000.0,1334000.0,714.0,340,2567.0,4,Average
Me and Earl and the Dying Girl,8000000.0,2208.0,1298.0,302,34.0,15,Good
The Vatican Tapes,8495000.0,3841.0,772.0,689,420.0,-2,Poor
Maggie,4500000.0,3744000.0,2468.0,600,79.0,10,Average
Americons,4000000.0,129000.0,14.0,28,14.0,0,Good
Road Hard,1500000.0,1188000.0,42.0,27,22.0,14,Average
Ant-Man,130000000.0,1052600.0,8359.0,2672,3856.0,18,Good
Southpaw,30000000.0,1052600.0,4435.0,1383,2772.0,6,Good
Ex Machina,15000000.0,1052600.0,239.0,46,1255.0,3,Good
The Man from U.N.C.L.E.,75000000.0,1052600.0,2300.0,500,3638.0,8,Good
Cinderella,95000000.0,1052600.0,5262.0,4245,3845.0,2,Good
Chappie,49000000.0,1052600.0,3481.0,786,3201.0,8,Good
Brotherly Love,1900000.0,1052600.0,700.0,293,200.0,0,Good
Run All Night,50000000.0,1052600.0,1712.0,480,3171.0,3,Good
The Second Best Exotic Marigold Hotel,10000000.0,1052600.0,247.0,99,1573.0,26,Good
Child 44,50000000.0,1052600.0,1859.0,641,66.0,4,Average
Aloha,37000000.0,1052600.0,2290.0,1128,2815.0,13,Average
Unfinished Business,35000000.0,1052600.0,409.0,325,2777.0,7,Average
War Room,3000000.0,1052600.0,201.0,67,2777.0,10,Average
The Gallows,160000.00000000006,1052600.0,606.0,431,2720.0,-5,Poor
