Movie,Budget,Gross,Dislikes,Sentiment,Comments,Screens,Ratings
13 Sins,4000000.0,9130,425,0,636.0,45.0,6.3
22 Jump Street,50000000.0,192000000,61,2,186.0,3306.0,7.1
3 Days to Kill,28000000.0,30700000,34,0,47.0,2872.0,6.2
300: Rise of an Empire,110000000.0,106000000,132,0,590.0,3470.0,6.3
A Haunted House 2,3500000.0,17300000,610,0,1082.0,2310.0,4.7
A Long Way Off,500000.0,29000,7,0,1.0,2777.0,4.6
A Million Ways to Die in the West,40000000.0,42600000,419,0,1020.0,3158.0,6.1
A Most Violent Year,20000000.0,5750000,197,2,593.0,818.0,7.1
A Walk Among the Tombstones,28000000.0,26000000,419,3,382.0,2714.0,6.5
About Last Night,12500000.0,48600000,532,0,770.0,2253.0,6.1
American Sniper,58800000.0,350000000,573,4,3134.0,3555.0,7.3
And So It Goes,30000000.0,15200000,94,0,70.0,1762.0,5.7
Annabelle,6500000.0,84300000,4382,0,4392.0,3185.0,5.4
Annie,65000000.0,85900000,707,0,1484.0,3116.0,5.2
Atlas Shrugged: Who Is John Galt?,5000000.0,830000,36,0,39.0,65.0,4.4
Barefoot,6000000.0,11800,247,2,460.0,18.0,6.6
Better Living Through Chemistry,5000000.0,72300,146,0,182.0,25.0,6.3
Beyond the Lights,7000000.0,14600000,235,0,685.0,31.0,6.9
Big Hero 6,165000000.0,222000000,538,29,1293.0,3761.0,7.9
Black or White,9000000.0,21600000,307,-1,1033.0,1823.0,6.6
Blended,40000000.0,46300000,1940,-2,2214.0,3555.0,6.5
Boyhood,4000000.0,25400000,207,9,741.0,771.0,8.0
Brick Mansions,28000000.0,20300000,255,0,1235.0,2647.0,5.7
Cake,7000000.0,1870000,454,2,1150.0,482.0,6.5
Camp X-Ray,1000000.0,9840,0,3,0.3000000000000002,2777.0,7.0
Cantinflas,3000000.0,6370000,558,3,2296.0,382.0,6.7
Captain America: The Winter Soldier,170000000.0,260000000,66,5,837.0,3938.0,7.8
Dawn of the Planet of the Apes,170000000.0,209000000,187,-4,889.0,3967.0,7.7
Deliver Us from Evil,30000000.0,30500000,72,0,162.0,97.0,6.2
Devil's Due,7000000.0,15800000,581,0,729.0,2544.0,4.0
Divergent,85000000.0,151000000,152,-4,987.0,3936.0,6.8
Dolphin Tale 2,36000000.0,42000000,129,-1,228.0,3376.0,6.4
Dracula Untold,70000000.0,55900000,1342,0,5278.0,2777.0,6.3
Draft Day,27000000.0,28800000,153,0,227.0,2781.0,6.8
Dumb and Dumber To,35000000.0,86200000,446,0,1122.0,3154.0,5.8
Earth to Echo,13000000.0,38900000,553,0,643.0,3230.0,5.8
Edge of Tomorrow,178000000.0,100000000,1730,0,6439.0,3490.0,7.9
Endless Love,20000000.0,23400000,1343,1,2577.0,2800.0,6.3
Falcon Rising,4500000.0,8690,98,0,92.0,2777.0,5.7
Foxcatcher,24000000.0,1210000,467,6,1580.0,66.0,7.1
Fury,68000000.0,85700000,331,3,1286.0,3313.0,7.6
God Help the Girl,1850000.0,102000,181,-4,374.0,8.0,6.4
God's Not Dead,2000000.0,60800000,413,0,890.0,780.0,5.0
God's Pocket,1000000.0,104000,10,0,12.0,3.0,6.1
Godzilla,160000000.0,201000000,112,2,547.0,3952.0,6.5
Gone Girl,61000000.0,168000000,58,-11,342.0,3014.0,8.2
Guardians of the Galaxy,170000000.0,333000000,269,0,1285.0,4080.0,8.1
Happy Christmas,160000.00000000006,30100,107,0,132.0,9.0,5.6
Heaven Is for Real,12000000.0,91400000,34,-9,133.0,2417.0,5.8
Hercules,100000000.0,72700000,1130,-2,3925.0,3595.0,6.1
Horrible Bosses 2,42000000.0,54400000,124,-1,362.0,93.0,6.3
How to Train Your Dragon 2,145000000.0,177000000,862,3,2863.0,4253.0,7.9
If I Stay,11000000.0,50500000,924,14,3609.0,1272.0,6.8
In the Name of My Daughter,8932779.93,275000,0,0,0.3000000000000002,6.0,6.1
Inherent Vice,20000000.0,8090000,82,1,797.0,645.0,6.7
Interstellar,165000000.0,188000000,751,2,4316.0,3561.0,8.7
Into the Storm,50000000.0,47600000,569,0,3058.0,3434.0,5.8
Into the Woods,50000000.0,128000000,112,-4,346.0,2440.0,6.0
It Follows,2000000.0,14700000,1,-9,1.0,4.0,6.9
Jack Ryan: Shadow Recruit,60000000.0,50500000,347,4,1105.0,3387.0,6.2
Jersey Boys,40000000.0,47000000,133,10,543.0,2905.0,6.9
John Wick,20000000.0,43000000,405,0,2732.0,2589.0,7.2
Kill the Messenger,5000000.0,2450000,234,0,1119.0,374.0,7.0
